team,season,total_icetime,total_games,total_shots_against,total_saves,total_gsax,num_goalies,team_save_pct,team_gsax_per_60
SEA,2021,292982.0,87.0,2346.44,2083.0,-41.15000000000001,3.0,0.8877277918889892,-0.008427138868599438
SEA,2022,296364.0,92.0,2321.6099999999997,1965.0,-8.160000000000009,3.0,0.8463953894064896,-0.0016520225128558144
SEA,2023,296938.0,88.0,2522.03,2159.0,-1.2399999999999896,3.0,0.8560564307323861,-0.00025055735540752404
SEA,2024,291841.0,86.0,2643.7300000000005,2081.0,2.310000000000014,5.0,0.7871454346699548,0.00047491613584109437
SEA,2025,54809.0,17.0,459.14000000000004,365.0,-1.8200000000000012,3.0,0.7949644988456679,-0.0019923735152985837
SJS,2021,378656.0,117.0,3343.2599999999998,3029.0,-1.3000000000000016,5.0,0.9060019262635871,-0.0002059917180765658
SJS,2022,295672.0,86.0,2652.82,2325.0,-33.39,4.0,0.8764258411803288,-0.006775751508428259
SJS,2023,196147.0,61.0,1944.06,1664.0,-9.200000000000012,4.0,0.8559406602676872,-0.0028142158687107155
SJS,2024,228332.0,70.0,2056.46,1664.0,-21.72999999999999,3.0,0.8091574842204565,-0.005710106336387364
SJS,2025,57894.0,16.0,564.17,458.0,2.0299999999999976,2.0,0.8118120424694685,0.0021038449580267357
STL,2021,290985.0,84.0,2544.0899999999997,2316.0,8.940000000000003,4.0,0.9103451528837424,0.0018433939893808967
STL,2022,295357.0,88.0,2677.27,2355.0,-14.279999999999998,3.0,0.8796273816238183,-0.002900896203577365
STL,2023,295208.0,87.0,2750.18,2389.0,26.83,2.0,0.8686704143001549,0.005453104251917292
STL,2024,295068.0,87.0,2416.49,2005.0,0.9099999999999966,2.0,0.8297158275018727,0.0001850420919923536
STL,2025,57619.0,19.0,461.56,361.0,-9.29,2.0,0.7821301672588612,-0.009673892292472968
TBL,2021,296538.0,85.0,2422.75,2214.0,25.379999999999995,4.0,0.9138375812609638,0.005135260910911922
TBL,2022,295269.0,82.0,2522.37,2330.0,20.560000000000002,2.0,0.9237344243707307,0.0041778852503987895
TBL,2023,294034.0,84.0,2452.2799999999997,2163.0,-10.990000000000009,3.0,0.8820363090674802,-0.002242597794812847
TBL,2024,294677.0,83.0,2458.5,2096.0,26.04,3.0,0.8525523693308928,0.005302076510891586
TBL,2025,53795.0,15.0,461.74,395.0,4.759999999999998,2.0,0.8554597825616147,0.005309043591411839
TOR,2021,296102.0,89.0,2435.28,2260.0,-21.1,5.0,0.9280247035248512,-0.0042755536943350604
TOR,2022,295682.0,86.0,2459.44,2200.0,24.1,5.0,0.8945125719676024,0.004890388998992161
TOR,2023,296537.0,87.0,2629.3,2185.0,5.329999999999998,3.0,0.8310196630281823,0.0010784488950788599
TOR,2024,294522.0,84.0,2650.12,2177.0,35.699999999999996,4.0,0.8214722352195373,0.007272801352700306
TOR,2025,57221.0,17.0,517.89,432.0,-9.030000000000001,3.0,0.8341539709204657,-0.00946855175547439
UTA,2024,297098.0,87.0,2462.57,2025.0,3.690000000000006,4.0,0.8223116500241617,0.0007452086516906891
